Event Name,Event Type,Date Range,System Assigned Label
Brigid,Storm (Storm/Wind),2014-02-01 -> 2014-02-02,POTENTIAL_HAZARD
Nadja,Storm (Surge/Wave),2014-01-31 -> 2014-02-01,POTENTIAL_HAZARD
Frank,Storm (Flood/Rain),2015-12-29 -> 2015-12-30,POTENTIAL_HAZARD
Katia (Ex-Hurricane),Storm (Storm/Wind),2011-09-12 -> 2011-09-12,POTENTIAL_HAZARD
Imogen,Storm (Storm/Wind),2016-02-08 -> 2016-02-08,POTENTIAL_HAZARD
Gunter,Storm (Storm/Wind),2011-12-12 -> 2011-12-13,POTENTIAL_HAZARD
Yoann,Storm (Flood/Rain),2016-01-07 -> 2016-01-08,POTENTIAL_HAZARD
Yves,Storm (Storm/Wind),2017-12-13 -> 2017-12-14,POTENTIAL_HAZARD
Christoph,Storm (Flood/Rain),2021-01-19 -> 2021-01-21,POTENTIAL_HAZARD
Bang gia Big Freeze 2010,Weather Event (Snow/Freeze),2010-12-01 -> 2010-12-25,POTENTIAL_HAZARD
Abigail,Storm (Storm/Wind),2015-11-12 -> 2015-11-13,POTENTIAL_HAZARD
Petra 2010,Storm (Snow/Freeze),2010-12-16 -> 2010-12-17,POTENTIAL_HAZARD
Henry,Storm (Storm/Wind),2016-02-01 -> 2016-02-02,POTENTIAL_HAZARD
Ewan,Storm (Storm/Wind),2017-02-26 -> 2017-02-26,POTENTIAL_HAZARD
Bertha (Ex-Hurricane),Storm (Flood/Rain),2014-08-10 -> 2014-08-11,POTENTIAL_HAZARD
Conor,Storm (Storm/Wind),2016-12-25 -> 2016-12-26,POTENTIAL_HAZARD
Ruth,Storm (Storm/Wind),2014-02-08 -> 2014-02-09,POTENTIAL_HAZARD
Herwart,Storm (Storm/Wind),2017-10-28 -> 2017-10-29,POTENTIAL_HAZARD
Milne,Storm (Flood/Rain),2009-11-18 -> 2009-11-19,POTENTIAL_HAZARD
Hildebrand,Storm (Storm/Wind),2013-11-21 -> 2013-11-22,POTENTIAL_HAZARD
Mortimer,Storm (Flood/Rain),2019-09-29 -> 2019-09-30,POTENTIAL_HAZARD
Nicolas,Storm (Flood/Rain),2012-12-22 -> 2012-12-23,POTENTIAL_HAZARD
St Jude (Christian),Storm (Storm/Wind),2013-10-27 -> 2013-10-28,POTENTIAL_HAZARD
Katie,Storm (Storm/Wind),2016-03-27 -> 2016-03-28,POTENTIAL_HAZARD
Marie,Storm (Flood/Rain),2012-11-01 -> 2012-11-02,POTENTIAL_HAZARD
Anne,Storm (Flood/Rain),2014-01-03 -> 2014-01-04,POTENTIAL_HAZARD
Cumbria 2009,Flood (Flood/Rain),2009-11-19 -> 2009-11-20,POTENTIAL_HAZARD
Ellen,Storm (Storm/Wind),2020-08-19 -> 2020-08-20,POTENTIAL_HAZARD
Joris,Storm (Storm/Wind),2009-01-22 -> 2009-01-23,POTENTIAL_HAZARD
Sebastien,Storm (Storm/Wind),2019-11-26 -> 2019-11-27,POTENTIAL_HAZARD
Hermann,Storm (Storm/Wind),2014-12-26 -> 2014-12-27,POTENTIAL_HAZARD
Volker,Storm (Storm/Wind),2021-11-22 -> 2021-11-23,NORMAL
